reviewer_name,rating,review_text
M. Dandy,3,"Kuahnya biasa aja, bahkan agak hambar.

Ga tahu kalau ternyata ada porsi besar. Ga sempat ngecek menu, soalnya kecil juga papan menunya. Pelayan yang datang saat nanyain pesanan pun ga nawarin ""mau porsi besar atau kecil?"" Ujug2 dateng mangkok gede. Kalau kuahnya nikmat dan gurih sih, oke2 aja dengan porsi mangkok gede. Kalau hambar, aduuuuh... jadi mubadzir kan gak habis ï¿½ï"
yanles 11,5,Satubkata saja...sedaaapp... yg ke makasar...kalo ga kesini.. ga sah loh... cobain deh...daging banyak... mantab.. di makan pake lontong dan buras..makin ok... ada entertain nya... yg nyanyi nambah suasana ok.. mantab lah..
Muhammad Sulhi,4,"Salah satu tempat makan coto favorit di Makassar. Dagingnya empuk, kuah cotonya gurih apalagi pake tambahan bawang goreng. Selain ketupat, juga disediakan buras, kerupuk untuk pelengkap. Tempat luas dan bersih. Mantul!!"
Alif Septian Budhi,4,"Lokasi di jalan perintis dekat pertamina, harga coto 18K, ketupat 1K dan lainnya. Disini pilihannya komplit, enak, beda sama coto2 sebelah sana. Tempatnya pun luas, jdi ngga harus antri nunggu tmpt utk makan disini"
SRL,4,Kuahnya berempah. Dimasak masih menggunakan kayu bakar. Lokasinya strategis. Untuk tempat parkiran memang masih dirasa kecil.
GIF GIF,1,"Harga yang tertera di spanduk 12rb, tapi pas bayar jadi bayar lah ko 22rb perporsi, mana tidak ada daftar menu yang di berikan, mungkin kalau ada penyampaian Masi masuk akal ini engga ada, tolong kalau bisa kasi Lis menu nya biar jelas harganya atau paling tidak ada penyampaian kalau ada perbedaan harga"
AZWAR HASLIP,2,"Rasa cotonya lumayan enak, cuman kebersihan yang kurang dan tempat nya sangat panas karena kipas anginnya rusak semua, saran jangan makan pas lg panas matahari"
Sudirman,4,"salah satu tempat coto yang enak di makassar, sekaranhh tempatnyA sudah luas jadi makan rame rame lebih asik"
NUR IRVANSYAH (NUI),5,"Bagi yg ingin menikmati Coto khas makassar. Disinlah tempatnya.
Resa enak, daging n kuah nya mantap.
Semua dimasak didalam tungku dan kayu bakar.
Terlabih lagi dengan pengamennya. Suaranya keren dan menghibur...
Coto paraikatte mudah di temukan karna berada di pinggir jalan poros makassar. Parkiran lumayan luas n nyaman.
Pokoknya TOP deh Cotonya. ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï"
Solita Siregar,3,"Rasa nya kurang asin, porsi mengenyangkan, harga juga tidak mahal. Lokasi tepat di pinggir jalan. Selain ketupat juga ada buras untuk pendamping makan coto"
Syifa Fayzana,5,"enaak bgt! live musicnya jg ada, mejanya ada yg untuk 2 org jadi ga makan tempat & feels more private krn tempatnya nyaman untuk berdua gituuï¿½ï"
Nurman Riyadi Rahman,5,"Cotonya enak, kuahnya gurih. Porsinya kecil tapi rasa sedang, porsinya besar tapi rasa jumbo. Mantap lah buat mengisi perut di pagi hari."
Fatim,4,"Salah satu tempat favoritnya suami kalau makan Coto. Porsinya lebih banyak, kuahnya kental, rasanya pas. Harganya Rp 22.000 per porsi dan betul-betul puas kalau makan di sini. Sambalnya juga pas rasanya, pelayanannya cepat dan karyawannya ramah."
Andhy Bilal,3,"Dari segi rasa biasa saja,, tempat makan luas"
Asri,4,"Cotonya enak, warung Coto yg sudah terkenal di Makassar & sudah punya cabang, tempatnya juga mudah ditemukan."
fathan al farizi,5,Tempat yang luar biasa ada pengamen yang suaranya merdu. Kuahnya juga enak kental dan tidak ada duanya
real beautycare,1,"makan coto disini, saya pesan daging to' tapi betul2 cuma kuah saya dikasi, daging cuma 2 itupun potongan sangat kecil, saya protes tapi katanya begitu ji memang, beda sekali sama yg di pettarani, nda bakal saya kembali kesiniï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ seandainya "
Jumadil Akbar A R,4,"Salah satu tempat makan coto terbaik di Makassar,  ada live musiknya juga"
hendry suryono,4,"Kuah coto nya kental, gurih; dagingnya lembut"
Abdul Aziz Alhakim,5,"Pertama kesini, karena transit dan seperti biasa cari makan khas daerah yg rekomended [cotto makassar]ï¿½ï¿½ï¿½ï¿½
Kebetulan ada tmn di maros-makassar,jd di ajak jalan bisa singgah disini

Rekomended Cotto Makassar Porsi Jumboï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½
Ketupatnya di hitung ya, ï¿½ï¿½ï¿½ï¿½murah cuma seri"
Ety Agusto,3,"Cotonya lumayan enak dengan harga standar. Pelayanan cukup baik. Cuma wc untuk pelanggan kurang diperhatikan kebersihannya. Dan satu lagi, layanan pbayaram via QRIS-nya sudah tidak ada lagi."
"Sari wahyuni Tamrin,ST",2,"Cotonya gak enak,kuah nya gak kental lebih mirip kuah sop saudara, rasanya banyak berubah, saya pernah makan beberapa tahun lalu, kualitasnya menurun drastis, d kasi potongan pipih kek remahan padahal harga cotonya seporsi 22 ribu, mana tukang parkir udah ready d depan yg tdk lain adalah karyawan tokonya sendiri yg bertugas sebagai kang parkir, kendaraan kelihatan kok dr dalam dan kondisi parkirannya sepi, jgn lah pake kang parkir mana harga coto mahal plus gak se enak dulu lagi"
Nur fatonah Roidi,2,"Ga ada hospitality.karyawan kumal melayani tmu celana pndek sperti belum mandi di tanya diam..gak ramah satunya lgi yg buat minuman malah terlihat over act didepan tamu berlari ga karuan.rambut kucel yg lainnya sibuk main hape ,yg cewek pake hijab makan kaki diatas ..bad atittude.ruang makan brantakan .perbaiki lagi service training karyawanny baik baik beri arahan..makanan enak tp suasana ga nyaman service zonk..buat ap..cukup sekali ke sini..gak lagi !"
F Falah,5,"Coto 3 besar kota makassar menurut ku, rasa enak gurih, ada burasa nya yg manis, dan ketupat. Coto tersedia porsi besar dan kecil, pokonya puas"
Muhammad alief diva setiawan,5,Tempat makan yg asik..aroma khas coto yg nikmat ....aroma asli makassar ..dri smnjak berdiri smpai sekarang msi maknyus...
Nehemia La'lang Katik,4,"Samping STIMI, Parkir terbatas, coto enak, tempat selalu ramai, kamar mandi kotor."
andi asryadi Pratama,1,"WCnya kotor sekali. Pas buka baknya. Full dengan tai dan saya sempat memegang kotorannya, sehingga sdh tidak mood makan cotonya. Cotonya lumayan mahal tapi kebersihan pelayanan mengecewakan. Selanjutnya, pelayannya duduk diposisi pas depan kipas, sedangkan kami pembelinya tidak diperioritaskan, sehingga cukup panas. Sepertinya ini terakhir sy kesini. Parahnya saya sudah tanya ke karyawan dan kasirnya. Sumpah tdk ada kata prrmintaan maaf dari mereka... mengecewakan.."
Gelmani Barata (gelmani25),5,"cotonya enak, layanannya cepat, tempatnya juga bersih dan nyaman. Harganya juga lumayan, sesuailah dengan porsinya. Makan satu mangkok coto dan dua buah ketupat sudah bisa buat saya kenyang, hahaha"
Amran AD,1,"Ada pelayannya yang tidak ramah dan sok cantik

Tolong perbaiki pelayanannya terutama karyawannya yg urus2 kecap

Mungkin dia owner atau keluarga owner?"
Kise Ryouta,2,"5 tahun lalu saya datang ke sini masih enak. Porsi pas. Sekarang 2025, aduh entah karna saya datang jam 10 malam jadi daging yang dikasih ke saya sedikit banget. Padahal porsinya besar."
Faisal Adi pradana,4,"Cotonya kurang begitu terasa. Untuk warungnya karna pake bakar kayu, asapnya masuk.
Untuk luasnya lumayan jadi cukup"
Achoen Kaka,5,Untuk pertama kali merasakan coto makasar dan Alhamdulillah dapat yang mantap rasanya. Dagingnya empuk banget. Murah lagi...
Maria Josephine Wijiastuti,5,"Coto daging nya lembut banget, tempat bersih. Ajiiib."
listianto yulius,5,"Enak, porsi besar harga ekonomis, space luas, pelayanan cepat dan ramah."
joko riyadi,5,"Lokasi strategis, makanannya lezat, live music tersedia. Protokol kesehatan diterapkan. Nice."
Juwandi Juwandi,5,Makanan enak murah. suasana B aja. pelayanan cepat.
Ivana Jingga,5,"Tiap ke makassar selalu makan disini, uda paling mantaplah daging dan parunya"
Candra Galuh,4,"Makan coto nya enak, dagingnya empuk, tempatnya luas, ada tempat parkir"
Adibah Yunisya,5,"Cotonya enak, es jeruknya juga enak, harga cukup terjangkau."
Gabriel Clinton Male,4,"Kuah kaya rempah, daging yang digunakan juga baik namun ketupat cenderung keras"
Sanjaya Pinem,5,"Cukup enak bahkan untuk mulut saya yang ""medan"" ini.
Lokasi yang dekat dengan pasar utama memudahkan untuk diakses."
Jo Jo,2,"Kuah Coto gak kental alias hambar...ukuran porsi jumbo sudah banyak dagingnya harga pas cukup terjangkau dan tolong perhatikan kebersihan tempatnya...mangkuk tempat bekas orang makan gak langsung dibersihkan
Pagi pagi kesana liat lantainya disudut banyak kotoran mouse dan lantai kurang bersih banyak sisa sisa ketupat lengket ....makan disini bgus asal tempatnya dibersihkan terutama lantai"
Ghamal Wahab,3,"Hujan, ketemu coto kuah kental tambah ketupat panas. Nyaman na karaeng ï¿½ï¿½ï¿½ï¿½ Kuah kental, daging em"
Leon Alexander,2,"Makanan b aja layanan juga tapi tempatnya kurang bet, panas padahal ada kipas tapi jgk di kasi nyala ada tikus besar botak lagi untung langsung gw usir"
Ditha Sabrina,4,"Cotonya enak langganan sejak jaman kuliah, tp minumannya lama"
